"","rank","year","airport","code
(iata/icao)","location","country","total
passengers"

"51",1,2015,"Hartsfield–Jackson Atlanta International Airport","ATL/KATL","Atlanta, Georgia","United States","101,491,106"
"52",2,2015,"Beijing Capital International Airport","PEK/ZBAA","Chaoyang-Shunyi, Beijing","China","89,938,628"
"53",3,2015,"Dubai International Airport","DXB/OMDB","Garhoud, Dubai","United Arab Emirates","78,014,841"
"54",4,2015,"O'Hare International Airport","ORD/KORD","Chicago, Illinois","United States","76,942,493"
"55",5,2015,"Tokyo Haneda Airport","HND/RJTT","Ota, Tokyo","Japan","75,316,718"
"56",6,2015,"London Heathrow Airport","LHR/EGLL","Hillingdon, London","United Kingdom","74,989,795"
"57",7,2015,"Los Angeles International Airport","LAX/KLAX","Los Angeles, California","United States","74,937,004"
"58",8,2015,"Hong Kong International Airport","HKG/VHHH","Chek Lap Kok, Hong Kong","China","68,283,407"
"59",9,2015,"Paris-Charles de Gaulle Airport","CDG/LFPG","Roissy-en-France, Île-de-France","France","65,766,986"
"60",10,2015,"Dallas/Fort Worth International Airport","DFW/KDFW","Dallas-Fort Worth, Texas","United States","65,512,163"
"61",11,2015,"Istanbul Atatürk Airport","IST/LTBA","Yesilköy, Istanbul","Turkey","61,836,781"
"62",12,2015,"Frankfurt Airport","FRA/EDDF","Frankfurt, Hesse","Germany","61,032,022"
"63",13,2015,"Shanghai Pudong International Airport","PVG/ZSPD","Pudong, Shanghai","China","60,053,387"
"64",14,2015,"Amsterdam Airport Schiphol","AMS/EHAM","Haarlemmermeer, North Holland","The Netherlands","58,284,864"
"65",15,2015,"John F. Kennedy International Airport","JFK/KJFK","Queens, New York","United States","56,827,154"
"66",16,2015,"Singapore Changi Airport","SIN/WSSS","Changi","Singapore","55,449,000"
"67",17,2015,"Guangzhou Baiyun International Airport","CAN/ZGGG","Baiyun-Huadu, Guangzhou, Guangdong","China","55,201,915"
"68",18,2015,"Soekarno-Hatta International Airport","CGK/WIII","Tangerang, Banten","Indonesia","54,053,905"
"69",19,2015,"Denver International Airport","DEN/KDEN","Denver, Colorado","United States","54,014,502"
"70",20,2015,"Suvarnabhumi Airport","BKK/VTBS","Bang Phli, Samut Prakan","Thailand","52,808,013"
"71",21,2015,"San Francisco International Airport","SFO/KSFO","San Mateo County, California","United States","50,057,887"
"72",22,2015,"Seoul Incheon International Airport","ICN/RKSI","Incheon","Republic of Korea","49,412,750"
"73",23,2015,"Kuala Lumpur International Airport","KUL/WMKK","Sepang, Selangor","Malaysia","48,938,424"
"74",24,2015,"Madrid Barajas Airport","MAD/LEMD","Barajas, Madrid","Spain","46,779,554"
"75",25,2015,"Indira Gandhi International Airport","DEL/VIDP","Delhi","India","45,981,773"
"76",26,2015,"McCarran International Airport","LAS/KLAS","Las Vegas, Nevada","United States","45,356,580"
"77",27,2015,"Charlotte Douglas International Airport","CLT/KCLT","Charlotte, North Carolina","United States","44,876,627"
"78",28,2015,"Miami International Airport","MIA/KMIA","Miami-Dade County, Florida","United States","44,350,247"
"79",29,2015,"Phoenix Sky Harbor International Airport","PHX/KPHX","Phoenix, Arizona","United States","44,003,840"
"80",30,2015,"George Bush Intercontinental Airport","IAH/KIAH","Houston, Texas","United States","43,023,224"
"81",31,2015,"Seattle-Tacoma International Airport","SEA/KSEA","SeaTac, Washington","United States","42,340,461"
"82",32,2015,"Chengdu Shuangliu International Airport","CTU/ZUUU","Shuangliu-Wuhou, Chengdu, Sichuan","China","42,244,842"
"83",33,2015,"Toronto Pearson International Airport","YYZ/CYYZ","Mississauga, Ontario","Canada","41,036,847"
"84",34,2015,"Munich Airport","MUC/EDDM","Freising, Bavaria","Germany","40,981,522"
"85",35,2015,"Chhatrapati Shivaji International Airport","BOM/VABB","Mumbai, Maharashtra","India","40,637,377"
"86",36,2015,"Leonardo da Vinci–Fiumicino Airport","FCO/LIRF","Fiumicino, Lazio","Italy","40,422,156"
"87",37,2015,"London Gatwick Airport","LGW/EGKK","Crawley, West Sussex","United Kingdom","40,271,343"
"88",38,2015,"Sydney Kingsford-Smith Airport","SYD/YSSY","Mascot, Sydney, New South Wales","Australia","39,914,103"
"89",39,2015,"Shenzhen Bao'an International Airport","SZX/ZGSZ","Bao'an, Shenzhen, Guangdong","China","39,721,619"
"90",40,2015,"Barcelona–El Prat Airport","BCN/LEBL","Barcelona","Spain","39,674,095"
"91",41,2015,"São Paulo-Guarulhos International Airport","GRU/SBGR","Guarulhos, São Paulo","Brazil","39,213,865"
"92",42,2015,"Shanghai Hongqiao International Airport","SHA/ZSSS","Changning-Minhang, Shanghai","China","39,090,699"
"93",43,2015,"Orlando International Airport","MCO/KMCO","Orlando, Florida","United States","38,727,749"
"94",44,2015,"Taiwan Taoyuan International Airport","TPE/RCTP","Dayuan, Taoyuan","Taiwan","38,473,333"
"95",45,2015,"Benito Juárez International Airport","MEX/MMMX","Venustiano Carranza, Mexico City","Mexico","38,433,288"
"96",46,2015,"Kunming Changshui International Airport","KMG/ZPPP","Guandu, Kunming, Yunnan","China","37,523,345"
"97",47,2015,"Newark Liberty International Airport","EWR/KEWR","Newark, New Jersey","United States","37,494,704"
"98",48,2015,"Narita International Airport","NRT/RJAA","Narita, Chiba","Japan","37,268,307"
"99",49,2015,"Ninoy Aquino International Airport","MNL/RPLL","Pasay/Parañaque, Metro Manila","Philippines","36,583,459"
"100",50,2015,"Minneapolis/St Paul International Airport","MSP/KMSP","St. Paul, Minnesota","United States","36,556,281"
